tick,symbol,position,avg_price,realized,unrealized,total,mid
840,ETH,61,1964.92,1442.92,326.856,1769.77,1970.28
840,ADA,80,1,342,14.612,356.612,1.18265
850,BTC,-136,56001.4,-9157.04,-16212.5,-25369.6,56120.6
850,ETH,58,1964.92,1467.17,402.711,1869.88,1971.86
850,ADA,83,1,342,14.9608,356.961,1.18025
860,BTC,-139,56004.7,-9157.04,-16231.8,-25388.9,56121.4
860,ETH,55,1964.92,1488.42,381.881,1870.3,1971.86
860,ADA,80,1,345,14.432,359.432,1.1804
870,BTC,-133,56006.8,-9842.75,-10779.6,-20622.4,56087.9
870,ETH,64,1965.07,1488.42,481.341,1969.76,1972.59
870,ADA,77,1,348,13.9755,361.976,1.1815
880,BTC,-136,56008.3,-9842.75,-8977.45,-18820.2,56074.3
880,ETH,58,1965.52,1643.38,280.497,1923.88,1970.36
880,ADA,74,1,351,13.4791,364.479,1.18215
890,BTC,-144,56016.8,-10036.8,-14201.4,-24238.2,56115.4
890,ETH,70,1965.61,1643.38,129.467,1772.85,1967.45
890,ADA,59,1,402,10.6407,412.641,1.18035
900,BTC,-146,56017.9,-10036.8,-11983.9,-22020.7,56100
900,ETH,70,1965.59,1652.21,270.994,1923.2,1969.46
900,ADA,59,1,404,10.4873,414.487,1.17775
910,BTC,-148,56019.1,-10036.8,-13629.5,-23666.3,56111.2
910,ETH,70,1965.59,1652.21,38.2441,1690.45,1966.13
910,ADA,57,1,406,9.975,415.975,1.175
920,BTC,-150,56019,-10036.8,2029.56,-8007.25,56005.4
920,ETH,72,1965.52,1652.21,-37.5659,1614.64,1964.99
920,ADA,66,1,406,11.4576,417.458,1.1736
930,BTC,-148,56019,-9946.88,3439.58,-6507.3,55995.7
930,ETH,79,1964.79,1646.62,-139.251,1507.37,1963.03
930,ADA,77,1,406,13.3672,419.367,1.1736
940,BTC,-146,56019,-9824.95,8742.54,-1082.41,55959.1
940,ETH,81,1964.67,1646.62,-230.796,1415.83,1961.83
940,ADA,75,1,408,12.9825,420.983,1.1731
950,BTC,-148,56018.2,-9824.95,11605.2,1780.26,55939.8
950,ETH,79,1964.67,1641.27,-265.782,1375.49,1961.31
950,ADA,77,1,408,13.3364,421.336,1.1732
960,BTC,-146,56018.2,-9650.61,12044.1,2393.45,55935.7
960,ETH,77,1964.67,1635.92,-178.973,1456.95,1962.35
960,ADA,79,1,408,13.6946,421.695,1.17335
970,BTC,-148,56017.3,-9650.61,8062.21,-1588.4,55962.8
970,ETH,77,1964.67,1635.92,-159.338,1476.59,1962.61
970,ADA,77,1,410,13.6482,423.648,1.17725
980,BTC,-148,56017.3,-9650.61,6471.95,-3178.66,55973.5
980,ETH,79,1964.61,1635.92,30.6817,1666.61,1964.99
980,ADA,79,1,410,13.9238,423.924,1.17625
990,BTC,-160,56017.1,-9618.06,-568.739,-10186.8,56020.6
990,ETH,83,1964.53,1635.92,38.6617,1674.59,1964.99
990,ADA,79,1,412,14.1054,426.105,1.17855
1000,BTC,-151,56017.1,-9509.38,1107.64,-8401.74,56009.7
1000,ETH,85,1964.54,1635.92,38.6517,1674.57,1964.99
1000,ADA,81,1,412,14.4625,426.463,1.17855
1010,BTC,-145,56017.1,-9400.7,-4146.55,-13547.3,56045.7
1010,ETH,82,1964.54,1646.3,261.148,1907.45,1967.72
1010,ADA,84,1,412,15.0696,427.07,1.1794
1020,BTC,-142,56017.1,-9643.54,-11720.9,-21364.5,56099.6
1020,ETH,88,1964.38,1659.68,290.158,1949.84,1967.68
1020,ADA,81,1,415,14.5922,429.592,1.18015
1030,BTC,-140,56017.1,-9785.44,-8133.56,-17919,56075.2
1030,ETH,86,1964.38,1668.92,333.444,2002.36,1968.26
1030,ADA,83,1,415,14.9981,429.998,1.1807
1040,BTC,-137,56017.1,-9974.28,-8772.37,-18746.6,56081.1
1040,ETH,86,1964.38,1668.92,379.884,2048.8,1968.8
1040,ADA,80,1,418,14.368,432.368,1.1796
1050,BTC,-135,56017.1,-10120.2,-10927.2,-21047.3,56098
1050,ETH,95,1964.44,1668.92,480.584,2149.5,1969.5
1050,ADA,82,1,418,14.8092,432.809,1.1806
1060,BTC,-128,56018.3,-10792.8,-10205.6,-20998.4,56098
1060,ETH,95,1964.44,1668.92,544.234,2213.15,1970.17
1060,ADA,80,1,420,14.24,434.24,1.178
1070,BTC,-133,56027.4,-11572,-11441.2,-23013.2,56113.4
1070,ETH,93,1964.44,1682.03,383.511,2065.55,1968.57
1070,ADA,98,1,420,17.3803,437.38,1.17735
1080,BTC,-118,56029,-12615.2,-7421.71,-20036.9,56091.9
1080,ETH,93,1964.56,1695.71,479.32,2175.03,1969.71
1080,ADA,98,1,423,17.6204,440.62,1.1798
1090,BTC,-121,56030.6,-12615.2,-8152.97,-20768.2,56098
1090,ETH,99,1964.68,1714.66,553.565,2268.23,1970.28
1090,ADA,101,1,423,17.9427,440.943,1.17765
1100,BTC,-112,56030.6,-13293.8,-9253.43,-22547.2,56113.2
1100,ETH,96,1964.68,1733.61,602.071,2335.68,1970.95
1100,ADA,104,1,423,18.7772,441.777,1.18055
1110,BTC,-103,56030.6,-13990.3,-9443.03,-23433.4,56122.3
1110,ETH,96,1964.68,1733.61,815.191,2548.8,1973.17
1110,ADA,101,1,426,18.1346,444.135,1.17955
1120,BTC,-106,56033.6,-13990.3,-14309.9,-28300.2,56168.6
1120,ETH,81,1964.68,1909.36,584.542,2493.9,1971.9
1120,ADA,98,1,429,17.5665,446.567,1.17925
1130,BTC,-103,56033.6,-14351.5,-11015.2,-25366.7,56140.6
1130,ETH,69,1964.68,2021.16,499.668,2520.83,1971.92
1130,ADA,95,1,432,17.119,449.119,1.1802
1140,BTC,-106,56036.9,-14351.5,-11398.9,-25750.4,56144.5
1140,ETH,66,1964.68,2046.11,519.854,2565.96,1972.56
1140,ADA,92,1,435,16.5784,451.578,1.1802
1150,BTC,-109,56040.2,-14351.5,-12846.7,-27198.2,56158.1
1150,ETH,75,1965.08,2046.11,520.019,2566.13,1972.02
1150,ADA,89,1,438,16.0912,454.091,1.1808
1160,BTC,-91,56040.2,-16399.6,-10759.8,-27159.4,56158.5
1160,ETH,82,1965.29,2059.94,533.656,2593.6,1971.8
1160,ADA,87,1,440,15.921,455.921,1.183
1170,BTC,-96,56046.4,-16399.6,-10540.3,-26939.9,56156.2
1170,ETH,84,1965.43,2059.94,614.636,2674.58,1972.74
1170,ADA,83,1,444,15.2097,459.21,1.18325
1180,BTC,-98,56048.7,-16399.6,-10908.9,-27308.5,56160
1180,ETH,82,1965.43,2075.09,622.142,2697.23,1973.02
1180,ADA,85,1,444,15.4998,459.5,1.18235
1190,BTC,-108,56062,-16622.2,-11223,-27845.2,56166
1190,ETH,84,1965.58,2075.09,651.472,2726.56,1973.34
1190,ADA,83,1,446,14.9566,460.957,1.1802
1200,BTC,-110,56063.9,-16622.2,-10940.7,-27563,56163.3
1200,ETH,91,1965.63,2091.92,449.496,2541.42,1970.57
1200,ADA,85,1,446,15.4232,461.423,1.18145
1210,BTC,-108,56063.9,-16698.5,-3122.39,-19820.9,56092.8
1210,ETH,93,1965.74,2091.92,575.571,2667.49,1971.93
1210,ADA,83,1,448,15.0271,463.027,1.18105
1220,BTC,-102,56069.5,-17360.8,-4753.9,-22114.8,56116.1
1220,ETH,95,1965.85,2091.92,739.406,2831.32,1973.63
1220,ADA,81,1,450,14.7784,464.778,1.18245
1230,BTC,-104,56070.6,-17360.8,-6350.75,-23711.6,56131.7
1230,ETH,93,1965.85,2110.22,1076.77,3186.99,1977.43
1230,ADA,83,1,450,15.2222,465.222,1.1834
1240,BTC,-102,56070.6,-17505.7,-7750.97,-25256.7,56146.6
1240,ETH,81,1965.85,2279.99,975.501,3255.49,1977.89
1240,ADA,81,1,452,14.7501,466.75,1.1821
1250,BTC,-100,56070.6,-17654.5,-10567,-28221.5,56176.3
1250,ETH,83,1966.1,2279.99,797.521,3077.52,1975.7
1250,ADA,83,1,452,15.1226,467.123,1.1822
1260,BTC,-112,56083.5,-17815.5,-9164.04,-26979.5,56165.3
1260,ETH,81,1966.1,2303.8,888.463,3192.27,1977.07
1260,ADA,83,1,454,15.2097,469.21,1.18325
1270,BTC,-105,56085.4,-18629.9,-9902.96,-28532.8,56179.7
1270,ETH,83,1966.31,2303.8,868.523,3172.33,1976.78
1270,ADA,81,1,456,14.9405,470.94,1.18445
1280,BTC,-115,56098.1,-18857.2,-12224,-31081.2,56204.4
1280,ETH,101,1967.32,2303.8,902.963,3206.77,1976.27
1280,ADA,83,1,456,15.4173,471.417,1.18575
1290,BTC,-106,56098.1,-20061.8,-14549.1,-34610.9,56235.4
1290,ETH,101,1967.32,2303.8,755.503,3059.31,1974.81
1290,ADA,81,1,458,14.9688,472.969,1.1848
1300,BTC,-104,56098.1,-20305.5,-14739.5,-35045,56239.9
1300,ETH,103,1967.43,2303.8,778.683,3082.49,1974.99
1300,ADA,83,1,458,15.4297,473.43,1.1859
1310,BTC,-86,56098.1,-22120.8,-7980.44,-30101.3,56190.9
1310,ETH,105,1967.54,2303.8,730.698,3034.5,1974.5
1310,ADA,81,1,460,15.062,475.062,1.18595
1320,BTC,-84,56098.1,-22302.5,-7794.84,-30097.4,56190.9
1320,ETH,103,1967.54,2318.72,767.765,3086.49,1974.99
1320,ADA,79,1,462,14.7453,476.745,1.18665
1330,BTC,-84,56098.1,-22302.5,-9399.24,-31701.8,56210
1330,ETH,105,1967.64,2318.72,737.105,3055.83,1974.66
1330,ADA,81,1,462,15.07,477.07,1.18605
1340,BTC,-86,56101.3,-22302.5,-9599.57,-31902.1,56212.9
1340,ETH,105,1967.64,2318.72,733.43,3052.15,1974.63
1340,ADA,79,1,464,14.6664,478.666,1.18565
1350,BTC,-68,56101.3,-24349.8,-7541.4,-31891.2,56212.2
1350,ETH,105,1967.75,2333.43,761.045,3094.48,1974.99
1350,ADA,92,1,464,17.0614,481.061,1.18545
1360,BTC,-57,56101.3,-25650.9,-7928.87,-33579.8,56240.4
1360,ETH,103,1967.75,2347.94,732.129,3080.07,1974.86
1360,ADA,90,1,466,16.722,482.722,1.1858
1370,BTC,-59,56105.6,-25650.9,-7165.49,-32816.4,56227.1
1370,ETH,101,1967.75,2362.44,713.873,3076.32,1974.82
1370,ADA,92,1,466,16.9786,482.979,1.18455
1380,BTC,-57,56105.6,-25895.7,-6477.99,-32373.7,56219.3
1380,ETH,112,1968.02,2362.44,670.118,3032.56,1974.01
1380,ADA,90,1,468,16.614,484.614,1.1846
1390,BTC,-59,56109.2,-25895.7,-5829.61,-31725.3,56208
1390,ETH,121,1968.17,2362.44,642.638,3005.08,1973.48
1390,ADA,92,1,468,16.9786,484.979,1.18455
1400,BTC,-50,56109.2,-26586.9,-4056.35,-30643.3,56190.3
1400,ETH,141,1968.39,2362.44,850.483,3212.93,1974.42
1400,ADA,90,1,470,16.6455,486.646,1.18495
1410,BTC,-41,56109.2,-27278.1,-2187.23,-29465.3,56162.5
1410,ETH,143,1968.44,2362.44,839.603,3202.05,1974.32
1410,ADA,76,1,520,14.0372,534.037,1.1847
1420,BTC,-55,56131.6,-27278.1,-3705.88,-30984,56199
1420,ETH,141,1968.44,2375.55,853.24,3228.8,1974.49
1420,ADA,76,1,520,13.9992,533.999,1.1842
1430,BTC,-53,56131.6,-27412.9,-3398.87,-30811.8,56195.8
1430,ETH,139,1968.44,2388.67,828.628,3217.3,1974.4
1430,ADA,76,1,520,14.0106,534.011,1.18435
1440,BTC,-49,56131.6,-27680.4,-3480.7,-31161.1,56202.7
1440,ETH,146,1968.42,2401.78,595.49,2997.27,1972.49
1440,ADA,87,1,520,16.2038,536.204,1.18625
1450,BTC,-40,56131.6,-28061.8,-2076.59,-30138.4,56183.5
1450,ETH,132,1968.42,2515.95,732.428,3248.38,1973.96
1450,ADA,89,1,520,16.6875,536.688,1.1875
1460,BTC,-42,56135,-28061.8,-3363.18,-31425,56215.1
1460,ETH,130,1968.42,2529.12,742.131,3271.25,1974.12
1460,ADA,91,1,520,17.199,537.199,1.189
1470,BTC,-44,56138.7,-28061.8,-3545.29,-31607.1,56219.3
1470,ETH,128,1968.42,2542.29,836.953,3379.24,1974.95
1470,ADA,93,1,520,17.563,537.563,1.18885
1480,BTC,-46,56142.4,-28061.8,-3691.02,-31752.8,56222.6
1480,ETH,126,1968.42,2555.45,828.916,3384.37,1974.99
1480,ADA,91,1,522,17.29,539.29,1.19
