tick,symbol,real_mid,real_spread,real_bidDepth,real_askDepth,engine_bestBid,engine_bestAsk
940840,BTC,55072.8,27.84,0,302.3,60406,60888
940840,ETH,2160.93,0.6,0,0,2376,2474
940840,ADA,1.20715,0.0013,0,0,1,2
940850,BTC,54833.7,5.43,0,0,60406,60888
940850,ETH,2160.19,0.84,0,0,2376,2474
940850,ADA,1.21,0.002,0,0,1,2
940860,BTC,54947.4,10.27,16.89,0,60405,60888
940860,ETH,2155.54,0.68,0,0,2376,2474
940860,ADA,1.2048,0.0006,0,0,1,2
940870,BTC,54959.5,0.01,14986.4,0,60402,60888
940870,ETH,2151.59,0.66,0,0,2376,2474
940870,ADA,1.2026,0.002,0,0,1,2
940880,BTC,54992.9,0.01,1147.34,613.36,60401,60888
940880,ETH,2156.18,0.17,0,0,2376,2474
940880,ADA,1.20605,0.0023,0,0,1,2
940890,BTC,55184.9,8.35,0,5179.21,60401,60888
940890,ETH,2157.74,0.35,0,0,2376,2474
940890,ADA,1.20685,0.0015,0,0,1,2
940900,BTC,55283.7,12.2,284.03,0,60401,60888
940900,ETH,2152.2,0.03,0,0,2376,2474
940900,ADA,1.20585,0.0023,0,0,1,2
940910,BTC,55157.5,4.41,0,0,60401,60888
940910,ETH,2149.61,0.01,0,0,2376,2474
940910,ADA,1.2041,0.0036,0,3889.5,1,2
940920,BTC,55155.1,0.01,0,0,60401,60888
940920,ETH,2132.8,0.52,0,2853.29,2376,2474
940920,ADA,1.2004,0.0008,0,0,1,2
940930,BTC,55158.8,12.54,0,76.66,60400,60888
940930,ETH,2137.93,0.86,0,0,2376,2474
940930,ADA,1.20065,0.0013,0,0,1,2
940940,BTC,55151.1,0.01,0,0,60400,60888
940940,ETH,2140.41,1.01,1125.45,0,2376,2474
940940,ADA,1.2012,0.0014,0,0,1,2
940950,BTC,55179.7,57.4,0,0,60400,60888
940950,ETH,2144.43,0.01,92.76,0,2376,2474
940950,ADA,1.20225,0.0029,0,0,1,2
940960,BTC,55273.5,4.3,0,14869.7,60399,60888
940960,ETH,2150.24,0.69,0,0,2376,2474
940960,ADA,1.20495,0.0043,1188.61,0,1,2
940970,BTC,55293.1,0.25,0,0,60399,60888
940970,ETH,2155.7,0.01,0,0,2376,2474
940970,ADA,1.208,0.004,0,0,1,2
940980,BTC,55250.5,2.05,0,0,60399,60888
940980,ETH,2157.62,0.76,0,0,2376,2474
